Gene Name,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10
G1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G14,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G19,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G21,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G22,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G23,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G24,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G28,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G30,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G32,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G33,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G34,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G37,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G38,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G40,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G41,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G43,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G46,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G47,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G49,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G50,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G51,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G52,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G53,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G54,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G55,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G56,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G57,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G58,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G59,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G60,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G61,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G62,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G63,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
G66,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
